regime	switch	gate	nlr	seed	split	acc	oracle	hard	infer	forget	ceiling	gate_mean	switch_step	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	last	fixp	0.0001	44	test	0.876849	0.988908	0.885628	0.8921	0.110936	0.882205	0.195497	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	fixp	0.0001	42	test	0.877591	0.992567	0.882656	0.8882	0.112049	0.881598	0.200866	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	fixp	0.0001	43	test	0.883211	0.992345	0.886124	0.8916	0.106247	0.884775	0.201154	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	fixp	0.0001	44	test	0.876648	0.991736	0.886121	0.8921	0.110935	0.884727	0.195496	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	fixp	0.0001	42	test	0.877525	0.992756	0.882855	0.8882	0.112216	0.881766	0.200865	125	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	fixp	0.0001	43	test	0.882474	0.991997	0.886447	0.8916	0.107085	0.884465	0.201154	201	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	fixp	0.0001	44	test	0.874599	0.991733	0.886032	0.8921	0.113185	0.884725	0.195497	100	478410	101125	0.2114	3144000	2	2	2	0
normal	always	fixp	0.0001	42	test	0.885044	0.986016	0.884143	0.8882	0.105923	0.875779	0.200852	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	fixp	0.0001	43	test	0.889449	0.982512	0.888452	0.8916	0.100608	0.876008	0.201149	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	fixp	0.0001	44	test	0.881943	0.981044	0.885672	0.8921	0.108821	0.875189	0.195512	-1	478410	101125	0.2114	3144000	2	2	2	0
