400	42	er	0.8946
400	42	sn-dead	0.8943	0.0000	0.0000	0.0000
400	42	sn	0.7137	2.0465	3.1816	2.9264
400	42	sngru-dead	0.8985	0.0000	0.0000	0.0000
400	42	sngru	0.8845	0.7697	1.2106	1.5699
400	43	er	0.8984
400	43	sn-dead	0.8954	0.0000	0.0000	0.0000
400	43	sn	0.8406	0.9748	0.9097	2.3280
400	43	sngru-dead	0.8849	0.0000	0.0000	0.0000
400	43	sngru	0.8704	0.8359	1.0048	1.2911
400	44	er	0.8792
400	44	sn-dead	0.9040	0.0000	0.0000	0.0000
400	44	sn	0.7305	1.6415	1.8169	1.6437
400	44	sngru-dead	0.9018	0.0000	0.0000	0.0000
400	44	sngru	0.8689	1.0543	1.3188	1.5696
10	42	er	0.7958
10	42	sn-dead	0.7961	0.0000	0.0000	0.0000
10	42	sn	0.1764	1.1720	0.8941	2.4057
10	42	sngru-dead	0.8045	0.0000	0.0000	0.0000
10	42	sngru	0.1995	0.7144	0.7486	2.0431
10	43	er	0.8383
10	43	sn-dead	0.8301	0.0000	0.0000	0.0000
10	43	sn	0.1581	2.5110	2.7504	2.4449
10	43	sngru-dead	0.8201	0.0000	0.0000	0.0000
10	43	sngru	0.2468	1.0776	2.5186	3.3385
10	44	er	0.7908
10	44	sn-dead	0.6977	0.0000	0.0000	0.0000
10	44	sn	0.1009	0.4564	0.4846	1.1895
10	44	sngru-dead	0.7942	0.0000	0.0000	0.0000
10	44	sngru	0.4381	0.7840	1.6478	2.1509
5	42	er	0.4547
5	42	sn-dead	0.5497	0.0000	0.0000	0.0000
5	42	sn	0.1009	1.1004	1.1678	1.4049
5	42	sngru-dead	0.4347	0.0000	0.0000	0.0000
5	42	sngru	0.1066	0.4829	0.4455	1.2622
5	43	er	0.7651
5	43	sn-dead	0.5820	0.0000	0.0000	0.0000
5	43	sn	0.1009	1.6017	1.4848	2.6090
5	43	sngru-dead	0.6199	0.0000	0.0000	0.0000
5	43	sngru	0.1009	0.3935	0.4227	1.9433
5	44	er	0.4420
5	44	sn-dead	0.6162	0.0000	0.0000	0.0000
5	44	sn	0.0975	0.8614	0.6547	1.5040
5	44	sngru-dead	0.4494	0.0000	0.0000	0.0000
5	44	sngru	0.0974	2.5985	2.6095	2.0304
