stage	cell	opt	lr	ep	lam	nlr	seed	acc	forget
test	plast-nobuf-neuron	sgd	0.003	5	-	0.01	43	0.975276	0.008716
test	plast-nobuf-neuron	sgd	0.003	5	-	0.01	44	0.978690	0.005133
test	dead-nobuf-synapse	sgd	0.003	5	-	-	42	0.980286	0.004972
test	dead-nobuf-synapse	sgd	0.003	5	-	-	43	0.976374	0.008018
test	dead-nobuf-synapse	sgd	0.003	5	-	-	44	0.978583	0.005347
test	plast-nobuf-synapse	sgd	0.003	5	-	0.0001	42	0.978575	0.003928
test	plast-nobuf-synapse	sgd	0.003	5	-	0.0001	43	0.974492	0.006999
test	plast-nobuf-synapse	sgd	0.003	5	-	0.0001	44	0.976999	0.005395
test	plast-bufown-neuron	sgd	0.003	5	-	0.01	42	0.979672	0.004958
test	plast-bufown-neuron	sgd	0.003	5	-	0.01	43	0.975181	0.008811
test	plast-bufown-neuron	sgd	0.003	5	-	0.01	44	0.978690	0.005133
test	plast-bufown-synapse	sgd	0.003	5	-	0.0001	42	0.978673	0.003830
test	plast-bufown-synapse	sgd	0.003	5	-	0.0001	43	0.974492	0.006999
test	plast-bufown-synapse	sgd	0.003	5	-	0.0001	44	0.976898	0.005395
test	dead-ercur-neuron	sgd	0.1	5	-	-	42	0.995003	0.002120
test	dead-ercur-neuron	sgd	0.1	5	-	-	43	0.994125	0.002782
test	dead-ercur-neuron	sgd	0.1	5	-	-	44	0.994787	0.002324
test	plast-ercur-neuron	sgd	0.1	5	-	0.01	42	0.993504	0.002604
test	plast-ercur-neuron	sgd	0.1	5	-	0.01	43	0.993116	0.003186
test	plast-ercur-neuron	sgd	0.1	5	-	0.01	44	0.994201	0.002604
test	dead-ercur-synapse	sgd	0.1	5	-	-	42	0.994994	0.002129
test	dead-ercur-synapse	sgd	0.1	5	-	-	43	0.994027	0.002978
test	dead-ercur-synapse	sgd	0.1	5	-	-	44	0.994689	0.002321
test	plast-ercur-synapse	sgd	0.1	5	-	0.01	42	0.994602	0.001910
test	plast-ercur-synapse	sgd	0.1	5	-	0.01	43	0.993623	0.002981
test	plast-ercur-synapse	sgd	0.1	5	-	0.01	44	0.994285	0.002529
test	dead-erown-neuron	sgd	0.1	5	-	-	42	0.994905	0.002117
test	dead-erown-neuron	sgd	0.1	5	-	-	43	0.994330	0.002577
test	dead-erown-neuron	sgd	0.1	5	-	-	44	0.994689	0.002422
test	plast-erown-neuron	sgd	0.1	5	-	0.01	42	0.993504	0.002705
test	plast-erown-neuron	sgd	0.1	5	-	0.01	43	0.993502	0.002907
test	plast-erown-neuron	sgd	0.1	5	-	0.01	44	0.994400	0.002406
test	dead-erown-synapse	sgd	0.1	5	-	-	42	0.994994	0.002129
test	dead-erown-synapse	sgd	0.1	5	-	-	43	0.993920	0.003085
test	dead-erown-synapse	sgd	0.1	5	-	-	44	0.994689	0.002422
test	plast-erown-synapse	sgd	0.1	5	-	0.01	42	0.994496	0.002117
test	plast-erown-synapse	sgd	0.1	5	-	0.01	43	0.993736	0.002768
test	plast-erown-synapse	sgd	0.1	5	-	0.01	44	0.994591	0.002322
