cell	after_task	avg_seen	first_task	per_task
plast-bufown-synapse	4	0.978800	0.998000	0.9980,0.9520,0.9860,0.9910,0.9670
dead-ercur-neuron	0	0.999000	0.999000	0.9990
dead-ercur-neuron	1	0.996500	1.000000	1.0000,0.9930
dead-ercur-neuron	2	0.996667	1.000000	1.0000,0.9900,1.0000
dead-ercur-neuron	3	0.995500	1.000000	1.0000,0.9850,0.9990,0.9980
dead-ercur-neuron	4	0.995000	0.999000	0.9990,0.9890,0.9970,0.9960,0.9940
plast-ercur-neuron	0	0.999000	0.999000	0.9990
plast-ercur-neuron	1	0.996500	1.000000	1.0000,0.9930
plast-ercur-neuron	2	0.996667	1.000000	1.0000,0.9910,0.9990
plast-ercur-neuron	3	0.994750	1.000000	1.0000,0.9830,0.9990,0.9970
plast-ercur-neuron	4	0.993400	0.999000	0.9990,0.9850,0.9960,0.9960,0.9910
dead-ercur-synapse	0	0.999000	0.999000	0.9990
dead-ercur-synapse	1	0.996500	1.000000	1.0000,0.9930
dead-ercur-synapse	2	0.996667	1.000000	1.0000,0.9900,1.0000
dead-ercur-synapse	3	0.995250	1.000000	1.0000,0.9840,0.9990,0.9980
dead-ercur-synapse	4	0.994800	0.999000	0.9990,0.9890,0.9960,0.9960,0.9940
plast-ercur-synapse	0	0.999000	0.999000	0.9990
plast-ercur-synapse	1	0.996500	1.000000	1.0000,0.9930
plast-ercur-synapse	2	0.996333	1.000000	1.0000,0.9910,0.9980
plast-ercur-synapse	3	0.995000	1.000000	1.0000,0.9840,0.9990,0.9970
plast-ercur-synapse	4	0.994600	0.999000	0.9990,0.9880,0.9970,0.9960,0.9930
dead-erown-neuron	0	0.999000	0.999000	0.9990
dead-erown-neuron	1	0.996500	1.000000	1.0000,0.9930
dead-erown-neuron	2	0.996333	1.000000	1.0000,0.9890,1.0000
dead-erown-neuron	3	0.995250	1.000000	1.0000,0.9840,0.9990,0.9980
dead-erown-neuron	4	0.994800	0.999000	0.9990,0.9880,0.9970,0.9960,0.9940
plast-erown-neuron	0	0.999000	0.999000	0.9990
plast-erown-neuron	1	0.996500	1.000000	1.0000,0.9930
plast-erown-neuron	2	0.996667	1.000000	1.0000,0.9910,0.9990
plast-erown-neuron	3	0.995000	1.000000	1.0000,0.9830,0.9990,0.9980
plast-erown-neuron	4	0.993400	0.999000	0.9990,0.9850,0.9960,0.9960,0.9910
dead-erown-synapse	0	0.999000	0.999000	0.9990
dead-erown-synapse	1	0.996500	1.000000	1.0000,0.9930
dead-erown-synapse	2	0.996667	1.000000	1.0000,0.9900,1.0000
dead-erown-synapse	3	0.995250	1.000000	1.0000,0.9840,0.9990,0.9980
dead-erown-synapse	4	0.994800	0.999000	0.9990,0.9890,0.9960,0.9960,0.9940
plast-erown-synapse	0	0.999000	0.999000	0.9990
plast-erown-synapse	1	0.996500	1.000000	1.0000,0.9930
plast-erown-synapse	2	0.996000	1.000000	1.0000,0.9900,0.9980
plast-erown-synapse	3	0.995000	1.000000	1.0000,0.9830,0.9990,0.9980
plast-erown-synapse	4	0.994400	0.999000	0.9990,0.9880,0.9960,0.9960,0.9930
