100	42	er+AChfix	0.8897	0.277	0.0144	0.0143	0.0094
100	42	er+all4fix	0.8689	0.408	0.4314	0.4297	0.3424
50	42	er+ACh	0.8765	0.282	0.0129	0.0171	0.0317
50	42	er+AChfix	0.8755	0.285	0.0180	0.0224	0.0188
50	42	er+all4fix	0.8765	0.497	0.0171	0.0191	0.0138
25	42	er+ACh	0.8709	0.276	0.0120	0.0309	0.0306
25	42	er+AChfix	0.8640	0.258	0.0194	0.0257	0.0326
25	42	er+all4fix	0.8643	0.439	0.0180	0.0181	0.0120
10	42	er+ACh	0.8364	0.247	0.0282	0.0591	0.0443
10	42	er+AChfix	0.8452	0.242	0.0358	0.0346	0.0474
10	42	er+all4fix	0.7265	0.426	0.0674	0.0686	0.0764
5	42	er+ACh	0.4723	0.259	0.0737	0.2718	0.0704
5	42	er+AChfix	0.3539	0.338	0.0330	0.0573	0.0424
5	42	er+all4fix	0.5447	0.541	0.0646	0.0992	0.0917
400	42	er+freefix	0.8789	0.449	0.2960	0.3153	0.2628
200	42	er+freefix	0.8796	0.362	0.0751	0.0746	0.0843
100	42	er+freefix	0.8893	0.480	0.3557	0.3256	0.2897
50	42	er+freefix	0.8895	0.490	0.2447	0.2943	0.2778
25	42	er+freefix	0.8510	0.412	0.0962	0.0952	0.0797
10	42	er+freefix	0.8310	0.601	0.4941	0.4262	0.4815
5	42	er+freefix	0.8156	0.704	1.2093	1.2187	1.5724
10	43	er+freefix	0.8304	0.549	0.8478	0.7579	0.6712
10	44	er+freefix	0.7885	0.683	0.7372	0.8737	1.2732
5	43	er+freefix	0.8245	0.774	2.1411	1.4685	1.1455
5	44	er+freefix	0.8209	0.707	1.8042	2.1627	2.0434
