all4|synapse|nobuf|sgd|std1|lr0.001|ep5	0.6264	0.6290	0.4578
ACh_ema|synapse|nobuf|sgd|std0|lr0.001|ep5	0.6290	0.6290	0.2415
soft_mlp|synapse|nobuf|sgd|-|lr0.001|ep5	0.2429	0.2429	0.9893	0.1983
all4|synapse|nobuf|adam|std1|lr1e-05|ep5	0.5806	0.4915	0.4074
ACh_ema|synapse|nobuf|adam|std0|lr1e-05|ep5	0.5845	0.5853	0.2783
soft_mlp|synapse|nobuf|adam|-|lr1e-05|ep5	0.5847	0.5845	0.6082	0.1986
