method,avg_final_acc_mean,avg_final_acc_std,forgetting_mean,forgetting_std
naive,0.19791561606992772,0.0002647170238363385,0.7978823781268901,0.0004179692494008245
joint,0.9803501908689344,0.0014060607627670648,0.0,0.0
ewc,0.2013999863720458,0.0026416938468712104,0.7947942153118223,0.0020577841082365144
er,0.90232556493088,0.0039028320050778437,0.09185201791398086,0.004351952182856115
neuromod,0.19828542612203734,0.00021787664139882076,0.798206903516852,8.852313090328835e-05
neuromod+er,0.9000118073475022,0.0063242837656132655,0.09414276115166377,0.006870896095418008
