head|NE_emb|er-own|sgd|std0	0.8318	0.8319	0.318	0.0000	0.0000	1.7014
head|NE_emb|er-own|adam|std0	0.8782	0.8774	0.309	0.0000	0.0000	1.4415
head|NE_emb|nobuf|sgd|std0	0.6029	0.6027	0.260	0.0000	0.0000	0.8816
head|NE_emb|nobuf|adam|std0	0.3612	0.3595	0.270	0.0000	0.0000	0.1924
head|NE_emb|buf-own|sgd|std0	0.5106	0.5103	0.266	0.0000	0.0000	3.8956
head|NE_emb|buf-own|adam|std0	0.2548	0.2511	0.265	0.0000	0.0000	1.8050
head|DA_step|er-own|sgd|std0	0.7213	0.7498	0.253	0.0009	0.0011	0.0500
head|DA_step|er-own|adam|std0	0.8847	0.7909	0.262	0.0184	0.0201	0.0317
head|DA_step|nobuf|sgd|std0	0.6323	0.6075	0.394	0.0005	0.0005	0.0075
head|DA_step|nobuf|adam|std0	0.2917	0.3163	0.379	0.1336	0.1421	0.0533
head|DA_step|buf-own|sgd|std0	0.5402	0.4498	0.284	0.2300	0.2554	0.1833
head|DA_step|buf-own|adam|std0	0.3712	0.1858	0.409	0.1208	0.2028	0.2340
ne|emb_all|er-own|sgd|std1	0.7309	nan	nan	0.0014	0.0016	0.0905
ne|emb_all|er-own|adam|std1	0.8814	nan	nan	0.0272	0.0564	0.0195
ne|emb_all|nobuf|sgd|std1	0.6265	nan	nan	0.0006	0.0006	0.0080
ne|emb_all|nobuf|adam|std1	0.4013	nan	nan	0.0233	0.0352	0.0245
ne|emb_all|buf-own|sgd|std1	0.4527	nan	nan	0.6341	0.7208	1.0133
ne|emb_all|buf-own|adam|std1	0.3668	nan	nan	0.2469	0.5629	0.2772
ne|emb_all|er-own|sgd|std0	0.8453	nan	nan	0.0606	0.0602	1.5485
ne|emb_all|er-own|adam|std0	0.8701	nan	nan	0.4469	1.0285	0.4889
ne|emb_all|nobuf|sgd|std0	0.5895	nan	nan	0.0292	0.0283	0.8798
ne|emb_all|nobuf|adam|std0	0.3280	nan	nan	0.4015	0.5850	0.3246
