regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	boundary	taskil	bufcur	vecproj	neuron	0.0001	42	val	0.975571	0.0065702	0.673446	0.0134628	0.0140836	0.0211085	0.975571	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	taskil	bufcur	vecproj	neuron	0.001	42	val	0.976781	0.00621902	0.673446	0.126992	0.13486	0.188089	0.976781	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	taskil	bufcur	vecproj	neuron	0.01	42	val	0.981839	0.00182782	0.673446	1.45457	2.05206	2.214	0.981839	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	taskil	bufcur	vecproj	neuron	0.1	42	val	0.981699	0.00198852	0.673446	3.83313e+12	1.60186e+17	25946.1	0.981699	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	1e-05	42	test	0.904491	0.0811158	0.6847	0.00397259	0.00431554	0.00419647	0.904491	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	0	42	test	0.903051	0.0813341	0.6847	0	0	0	0.903051	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	1e-05	43	test	0.901039	0.0860397	0.6847	0.00392607	0.00416904	0.00414301	0.901039	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	0	43	test	0.898993	0.086556	0.6847	0	0	0	0.898993	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	1e-05	44	test	0.906612	0.0810856	0.6847	0.00387643	0.00415651	0.00394542	0.906612	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	0	44	test	0.903201	0.0824449	0.6847	0	0	0	0.903201	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-06	42	test	0.612755	0.164085	0.6847	0.000784259	0.000759492	0.000892309	0.612755	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	0	42	test	0.628487	0.124443	0.6847	0	0	0	0.628487	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-06	43	test	0.627397	0.160341	0.6847	0.000750083	0.000807761	0.000755354	0.627397	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	0	43	test	0.627364	0.144198	0.6847	0	0	0	0.627364	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-06	44	test	0.586298	0.14533	0.6847	0.000788348	0.000820221	0.000640065	0.586298	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	0	44	test	0.581461	0.124962	0.6847	0	0	0	0.581461	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0.0001	42	test	0.989372	0.00661252	0.6847	0.0197909	0.0177503	0.0137546	0.989372	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0	42	test	0.994035	0.00316267	0.6847	0	0	0	0.994035	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0.0001	43	test	0.985154	0.010032	0.6847	0.0175292	0.0176203	0.0213644	0.985154	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0	43	test	0.993526	0.00357715	0.6847	0	0	0	0.993526	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0.0001	44	test	0.988614	0.00668116	0.6847	0.0183474	0.0170342	0.0127188	0.988614	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0	44	test	0.992678	0.00373606	0.6847	0	0	0	0.992678	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-05	42	test	0.985392	0.00208818	0.6847	0.00705805	0.00706086	0.00947019	0.985392	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	0	42	test	0.98058	0.00486571	0.6847	0	0	0	0.98058	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-05	43	test	0.981288	0.0056608	0.6847	0.00701711	0.00739824	0.00856359	0.981288	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	0	43	test	0.976645	0.00784555	0.6847	0	0	0	0.976645	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-05	44	test	0.981155	0.00541478	0.6847	0.00740761	0.00777078	0.00829604	0.981155	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	0	44	test	0.979076	0.00534957	0.6847	0	0	0	0.979076	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0.1	42	test	0.92219	0.0648331	0.6847	1.2554e+10	3.10008e+09	201321	0.92219	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0	42	test	0.902374	0.0837481	0.6847	0	0	0	0.902374	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0.1	43	test	0.926757	0.0548257	0.6847	1.1226e+08	1.95605e+10	1207.35	0.926757	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0	43	test	0.89823	0.0873339	0.6847	0	0	0	0.89823	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0.1	44	test	0.919506	0.0612008	0.6847	4.37208e+08	2.3527e+12	28202.7	0.919506	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0	44	test	0.902062	0.0836239	0.6847	0	0	0	0.902062	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	bufcur	vecproj	neuron	0.001	42	test	0.62526	0.118511	0.6847	0.191136	0.199298	0.259594	0.62526	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	bufcur	vecproj	neuron	0	42	test	0.628424	0.12465	0.6847	0	0	0	0.628424	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	bufcur	vecproj	neuron	0.001	43	test	0.640041	0.135313	0.6847	0.178709	0.194073	0.226608	0.640041	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	bufcur	vecproj	neuron	0	43	test	0.628256	0.142757	0.6847	0	0	0	0.628256	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	bufcur	vecproj	neuron	0.001	44	test	0.567539	0.129261	0.6847	0.196658	0.203516	0.25022	0.567539	478410	25920	0.0542	3144000	3	2	1	0
