regime	mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	gain	taskil	adam	act_frac	live	42	0.995405	0.002999	0.428500	0.054732	0.052014	0.065691	0.031432	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	gain	taskil	adam	act_norm	live	42	0.994204	0.004395	0.292900	0.197251	0.192541	0.194942	0.313699	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	gain	taskil	adam	act_entropy	live	42	0.994313	0.004183	0.398400	0.104561	0.102919	0.110435	0.018457	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	gain	taskil	adam	act_pr	live	42	0.995627	0.002776	0.380500	0.036571	0.034045	0.051528	0.027671	0.000000	478410.000000	1620.000000	0.003400	3144000.000000	2.000000	1.000000	2.000000	0.000000
normal	gain	taskil	adam	w_fro	live	42	0.994293	0.003707	0.211500	0.008608	0.009320	0.013691	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	w_l1	live	42	0.994803	0.003500	0.211500	0.007090	0.007835	0.011529	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	w_absmean	live	42	0.995793	0.002510	0.211500	0.007533	0.007786	0.013541	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	w_absmax	live	42	0.995688	0.002915	0.211500	0.054693	0.052462	0.080291	0.000000	0.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	grad_norm	live	42	0.994619	0.003476	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	810.000000	0.001700	3144000.000000	1.000000	1.000000	1.000000	0.000000
normal	gain	taskil	adam	grad_norm_layer	live	42	0.995192	0.003307	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000	478410.000000	2430.000000	0.005100	3144000.000000	1.000000	1.000000	1.000000	0.000000
