form	kind	std	norm	mean_mode	proj	opt	regime	seed	acc	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
none	none	-	0	-	-	adam	normal	42	0.897549	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	1	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	ema	learned	adam	normal	42	0.89535	0.2421	4.83214	0.0438987	0.0449454	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	ema	random	adam	normal	42	0.897753	0.2421	4.83214	0.546609	0.278377	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	cumulative	learned	adam	normal	42	0.902437	0.1906	4.81751	0.029366	0.0305396	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	cumulative	random	adam	normal	42	0.903892	0.1906	4.81751	0.545871	0.277321	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	trueavg	learned	adam	normal	42	0.899174	0.2103	4.80294	0.0278546	0.0289743	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	trueavg	random	adam	normal	42	0.901571	0.2103	4.80294	0.544713	0.276403	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	ema+trueavg	learned	adam	normal	42	0.89535	0.2103	4.80294	0.0436413	0.044682	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	1	ema+trueavg	random	adam	normal	42	0.897851	0.2103	4.80294	0.544713	0.276403	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	ema	learned	adam	normal	42	0.899557	0.2421	0.833643	0.0315743	0.0316073	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	ema	random	adam	normal	42	0.902845	0.2421	0.833643	0.133319	0.0428427	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	cumulative	learned	adam	normal	42	0.898749	0.1906	0.837864	0.0297973	0.0298997	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	cumulative	random	adam	normal	42	0.904886	0.1906	0.837864	0.136991	0.0427741	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	trueavg	learned	adam	normal	42	0.899056	0.2103	0.82756	0.0247019	0.0250914	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	trueavg	random	adam	normal	42	0.901493	0.2103	0.82756	0.134127	0.0423587	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	ema+trueavg	learned	adam	normal	42	0.899557	0.2103	0.804222	0.0305083	0.0305402	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	1	ema+trueavg	random	adam	normal	42	0.902845	0.2103	0.804222	0.129454	0.0412407	0	478410	2	0	3144000	1	1	1	0
